CID,MolFormula,MolWeight,SMILES
14618068,C48H42N2O4,710.314457824,CC(C)C1=C(C(=CC=C1)C(C)C)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=C(C=CC=C9C(C)C)C(C)C)C2=O
105396,C40H26N2O4,598.189257312,C1=CC=C(C=C1)CCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)CCC9=CC=CC=C9)C2=O
158299,C52H50N2O4,766.3770580800001,CC(C)(C)C1=CC(=C(C=C1)C(C)(C)C)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=C(C=CC(=C9)C(C)(C)C)C(C)(C)C)C2=O
44421795,C32H28N4O6,564.2008846159999,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCNCCO)C(=O)N(C2=O)CCNCCO
145974375,C51H60N8O6,880.4635816399999,C1CCC(=O)NCCCN2CCN(CCCN3C(=O)C4=C5C(=CC=C6C5=C(C=C4)C7=C8C6=CC=C9C8=C(C=C7)C(=O)N(C9=O)CCCN4CCN(CCCNC(=O)CC1)CC4)C3=O)CC2
168290955,C120H146N26O36,2527.0393049920003,C1C(C(C(C(N1CCCN2C=C(N=N2)CN3C(=O)C4=CC(=C5C6=C(C=C7C8=C6C(=C(C=C8C(=O)N(C7=O)CC9=CN(N=N9)CCCN1CC(C(C(C1CO)O)O)O)OC1=CC=C(C=C1)OCC1=CN(N=N1)CCCN1CC(C(C(C1CO)O)O)O)C1=C(C=C(C4=C51)C3=O)OC1=CC=C(C=C1)OCC1=CN(N=N1)CCCN1CC(C(C(C1CO)O)O)O)OC1=CC=C(C=C1)OCC1=CN(N=N1)CCCN1CC(C(C(C1CO)O)O)O)OC1=CC=C(C=C1)OCC1=CN(N=N1)CCCN1CC(C(C(C1CO)O)O)O)CO)O)O)O
3555371,C34H32N4O4,560.242355504,CN(C)CCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCN(C)C)C1=O
13063773,C28H20N4O4,476.14845512,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCN)C(=O)N(C2=O)CCN
10555069,C38H22N2O4,570.157957184,C1=CC=C(C=C1)CN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)CC9=CC=CC=C9)C2=O
12662879,C34H30N2O4,530.22055744,CCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCCC)C1=O
14618067,C38H38N2O4,586.283157696,CCCCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCCCCC)C1=O
106140,C38H16N4O4S2,656.061296992,C1=CC(=CC(=C1)SC#N)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=CC(=CC=C9)SC#N)C2=O
11491219,C48H54N6O4,778.420654208,C1CCN(CC1)CCN2C(=O)C3=C4C(=CC(=C5C4=C(C=C3)C6=C(C=C7C8=C(C=CC5=C68)C(=O)N(C7=O)CCN9CCCCC9)N1CCCCC1)N1CCCCC1)C2=O
44456904,C34H36N8O4,620.285951632,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CNCCNCCN)C(=O)N(C2=O)CNCCNCCN
44456905,C38H40N8O6,704.3070809999999,CC(=O)NCCNCCNCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CNCCNCCNC(=O)C)C1=O
44456906,C34H34N6O4,590.264153568,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCNCCCN)C(=O)N(C2=O)CCNCCCN
44456971,C46H56N8O6,816.4322815119999,CC(=O)NCCCNCCCCNCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCNCCCCNCCCNC(=O)C)C1=O
44457094,C36H38N6O4,618.2954536960001,CC(C)NCCNCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CNCCNC(C)C)C1=O
44457107,C38H42N6O4,646.3267538240001,CN(C)CCCNCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCNCCCN(C)C)C1=O
44457124,C38H38N6O6,674.285282936,CC(=O)NCCCNCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCNCCCNC(=O)C)C1=O
51349694,C48H56N8O4,808.4424522720001,CN1CCN(CC1)C2=C3C4=C5C(=C(C=C6C5=C(C=C4)C(=O)N(C6=O)CCN7CCCCC7)N8CCN(CC8)C)C9=C3C1=C(C=C9)C(=O)N(C(=O)C1=C2)CCN1CCCCC1
51349696,C47H55N7O4,781.43155324,CN(C)CCCN1CCN(CC1)C2=C3C4=CC=C5C6=C(C=CC(=C46)C7=C3C8=C(C=C7)C(=O)N(C(=O)C8=C2)CCN9CCCCC9)C(=O)N(C5=O)CCN1CCCCC1
57401267,C44H56N8O4,760.442452272,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCNCCCCNCCCN)C(=O)N(C2=O)CCCNCCCCNCCCN
118707640,C84H126N18O28S4,1962.787179391998,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CSCCNC(=S)NCCCCN4C(=O)C5=C6C(=CC=C7C6=C(C=C5)C8=C9C7=CC=C1C9=C(C=C8)C(=O)N(C1=O)CCCCNC(=S)NCCSCC1C(C(C(O1)OC1C(C(CC(C1OC1C(C(C(C(O1)CN)O)O)N)N)N)O)O)OC1C(C(C(C(O1)CN)O)O)N)C4=O)OC1C(C(C(C(O1)CN)O)O)N)O)O)N
333491,C30H14N2O4,466.095356928,C1=CC=C(C=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)NC8=O)C2=O
9961042,C38H36N4O6,644.263484872,C1COCCN1CCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)CCCN9CCOCC9)C2=O
11285991,C56H62N6O4,882.483254464,C1CCN(CC1)CCC2=C3C=C4C5=C6C3=C7C(=C2)C=C8C9=C7C1=C6C(=CC(=C1C=C9C(=O)N(C8=O)CCN1CCCCC1)CCN1CCCCC1)C=C5C(=O)N(C4=O)CCN1CCCCC1
16721100,C52H60N8O4,860.4737523999999,CN1CCN(CC1)CCC2=C3C=C4C5=C6C3=C7C(=C2)C=C8C9=C7C1=C6C(=CC(=C1C=C9C(=O)N(C8=O)CCCN(C)C)CCN1CCN(CC1)C)C=C5C(=O)N(C4=O)CCCN(C)C
25117038,C52H58N6O4,830.451954336,C1CCN(CC1)CCC2=C3C=C4C5=C6C3=C7C(=C2)C=C8C9=C(C=CC(=C97)C6=C(C=C5C(=O)N(C4=O)CCN1CCCCC1)N1CCCCC1)C(=O)N(C8=O)CCN1CCCCC1
25117258,C56H64N8O4,912.505052528,CN1CCN(CC1)CCC2=C3C=C4C5=C6C3=C7C(=C2)C=C8C9=C7C1=C6C(=CC(=C1C=C9C(=O)N(C8=O)CCN1CCCCC1)CCN1CCN(CC1)C)C=C5C(=O)N(C4=O)CCN1CCCCC1
25117259,C52H58N6O4,830.451954336,CN(C)CCCN1C(=O)C2=CC3=CC(=C4C=C5C6=C7C4=C3C8=C2C(=CC9=C(C=C(C7=C98)C=C6C(=O)N(C5=O)CCCN(C)C)CCN2CCCCC2)C1=O)CCN1CCCCC1
3295215,C50H62N2O4,754.470958464,CCCCCCCCCCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCCCCCCCCCCC)C1=O
13979866,C34H30N2O4,530.22055744,CCC(CC)N1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)C(CC)CC)C1=O
15123746,C30H22N2O4,474.157957184,CCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCC)C1=O
15123833,C40H26N2O6,630.1790865520002,COC1=CC=C(C=C1)CN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)CC9=CC=C(C=C9)OC)C2=O
10326241,C38H24N4O4,600.1797552479999,C1=CC=NC(=C1)CCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)CCC9=CC=CC=N9)C2=O
44388751,C36H32N4O6,616.232184744,C1COCCN1CCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)CCN9CCOCC9)C2=O
44388752,C38H36N4O4,612.2736556319999,CN1CCCC1CCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)CCC9CCCN9C)C2=O
44456947,C42H52N8O4,732.411152144,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCNCCCCNCCCN)C(=O)N(C2=O)CCNCCCCNCCCN
51349408,C52H62N6O6,866.473083704,C1CCN(CC1)CCOCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C(C=C7C8=C6C5=C(C=C8C(=O)N(C7=O)CCOCCN9CCCCC9)N1CCCCC1)N1CCCCC1)C2=O
51349552,C52H64N8O6,896.4948817679999,CN1CCN(CC1)CCOCCN2C(=O)C3=C4C(=CC(=C5C4=C(C=C3)C6=C(C=C7C8=C(C=CC5=C68)C(=O)N(C7=O)CCOCCN9CCN(CC9)C)N1CCCCC1)N1CCCCC1)C2=O
51349554,C46H54N6O6,786.4104834479999,CN(C)CCOCCN1C(=O)C2=C3C(=CC(=C4C3=C(C=C2)C5=C(C=C6C7=C(C=CC4=C57)C(=O)N(C6=O)CCOCCN(C)C)N8CCCCC8)N9CCCCC9)C1=O
51349556,C44H50N6O6,758.3791833199999,CNCCOCCN1C(=O)C2=C3C(=CC(=C4C3=C(C=C2)C5=C(C=C6C7=C(C=CC4=C57)C(=O)N(C6=O)CCOCCNC)N8CCCCC8)N9CCCCC9)C1=O
51350882,C52H62N6O6,866.473083704,C1CCN(CC1)CCOCCN2C(=O)C3=C4C(=CC(=C5C4=C(C=C3)C6=C(C=C7C8=C(C=CC5=C68)C(=O)N(C7=O)CCOCCN9CCCCC9)N1CCCCC1)N1CCCCC1)C2=O
76310990,C30H24N4O4,504.179755248,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCN)C(=O)N(C2=O)CCCN
76329069,C39H44N6O4,660.3424038879999,CN(CCCCN)CCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCN(C)CCCN)C1=O
4189394,C40H26N2O4,598.189257312,CC1=C(C(=CC=C1)C)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=C(C=CC=C9C)C)C2=O
10985717,C54H61N3O6,847.4560366720001,CCCCCCC(CCCCCC)N1C(=O)C2=C3C(=CC4=C5C(=C6C=C7C8=C(C=CC9=C(C3=C4C6=C98)C=C2)C(=O)N(C7=O)C(CCCCCC)CCCCCC)C(=O)NC5=O)C1=O
11456950,C50H62N2O4,754.470958464,CCCCCCC(CCCCCC)N1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)C(CCCCCC)CCCCCC)C1=O
13979851,C48H58N2O4,726.439658336,CCCCCCCCCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCCCCCCCCCC)C1=O
13979852,C60H82N2O4,894.6274591040001,CCCCCCCCCCCCCCCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCCCCCCCCCCCCCCCC)C1=O
15123747,C32H26N2O4,502.189257312,CCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCC)C1=O
122579,C36H20N4O4,572.14845512,C1=CC(=CC(=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=CC=CC(=C9)N)C2=O)N
105969,C25H12N2O4,404.079706864,CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)NC7=O)C1=O
122580,C38H22N2O4,570.157957184,CC1=CC=C(C=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=CC=C(C=C9)C)C2=O
13643327,C40H26N2O5,614.1841719320001,CCOC1=CC=C(C=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=CC(=CC(=C9)C)C)C2=O
11506370,C80H90N2O8,1206.6697178400002,CCCCCCCCN1C(=O)C2=CC(=C3C4=C(C=C5C6=C4C(=C(C=C6C(=O)N(C5=O)CCCCCCCC)OC7=CC=C(C=C7)C(C)(C)C)C8=C(C=C(C2=C38)C1=O)OC9=CC=C(C=C9)C(C)(C)C)OC1=CC=C(C=C1)C(C)(C)C)OC1=CC=C(C=C1)C(C)(C)C
11657189,C38H38N2O4,586.283157696,CC(C)C(C(C)C)N1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)C(C(C)C)C(C)C)C1=O
14812666,C62H86N2O4,922.658759232,CCCCCCCCCC(CCCCCCCCC)N1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)C(CCCCCCCCC)CCCCCCCCC)C1=O
16217792,C48H34N2O4S2,766.195999568,C1CCC(CC1)N2C(=O)C3=C4C5=C(C=C3)C6=C7C8=CC=CC=C8SC7=C9C1=C(C=CC(=C61)C5=C1C(=C4C2=O)C2=CC=CC=C2S1)C(=O)N(C9=O)C1CCCCC1
20661202,C38H24N4O4,600.179755248,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCC8=CC=NC=C8)C(=O)N(C2=O)CCC9=CC=NC=C9
56845802,C34H16N4O4,544.117154992,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)C8=CC=NC=C8)C(=O)N(C2=O)C9=CC=NC=C9
58321641,C64H90N2O4,950.69005936,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CC(CCCCCCCC)CCCCCCCCCC)C1=O
59146702,C56H56N4O4,848.4301562719999,CC(C)C1=C(C(=CC=C1)C(C)C)N2C(=O)C3=C4C(=CC(=C5C4=C(C=C3)C6=C(C=C7C8=C(C=CC5=C68)C(=O)N(C7=O)C9=C(C=CC=C9C(C)C)C(C)C)N1CCCC1)N1CCCC1)C2=O
87219998,C42H40N4O4,664.30495576,CCCCCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=C(C=C7C6=C(C=C5C#N)C(=O)N(C7=O)CCCCCCCC)C#N)C1=O
87220029,C42H40N4O4,664.3049557599999,CCCCCCCCN1C(=O)C2=C3C(=CC(=C4C3=C(C=C2)C5=C(C=C6C7=C(C=CC4=C57)C(=O)N(C6=O)CCCCCCCC)C#N)C#N)C1=O
87290439,C36H36N4O4,588.273655632,CCN(CC)CCC1=C2C3=CC=C4C5=C(C=CC(=C35)C6=C2C7=C(C=C6)C(=O)NC(=O)C7=C1CCN(CC)CC)C(=O)NC4=O
87412717,C104H122N2O8,1526.9201188639995,CC(C)C1=C(C(=CC=C1)C(C)C)N2C(=O)C3=CC(=C4C5=C(C=C6C7=C5C(=C(C=C7C(=O)N(C6=O)C8=C(C=CC=C8C(C)C)C(C)C)OC9=CC=C(C=C9)C(C)(C)CC(C)(C)C)C1=C(C=C(C3=C41)C2=O)OC1=CC=C(C=C1)C(C)(C)CC(C)(C)C)OC1=CC=C(C=C1)C(C)(C)CC(C)(C)C)OC1=CC=C(C=C1)C(C)(C)CC(C)(C)C
88978501,C60H46N2O4,858.3457579520001,CC(C)C1=C(C(=CC=C1)C(C)C)N2C(=O)C3=CC4=C5C6=C(C=C7C8=C(C=C9C1=CC=CC=C1C1=CC(=C3C5=C1C9=C86)C2=O)C(=O)N(C7=O)C1=C(C=CC=C1C(C)C)C(C)C)C1=CC=CC=C14
89296379,C34H16N4O4,544.117154992,C1=CC=NC(=C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=CC=CC=N9)C2=O
91202049,C34H30N2O6,562.21038668,CCCOCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCOCCC)C1=O
101500656,C42H30N2O4,626.22055744,C1=CC=C(C=C1)CCCN2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)CCCC9=CC=CC=C9)C2=O
101784363,C68H66N2O6,1006.492087832,CC(C)C1=C(C(=CC=C1)C(C)C)N2C(=O)C3=C4C(=CC(=C5C4=C(C=C3)C6=C(C=C7C8=C(C=CC5=C68)C(=O)N(C7=O)C9=C(C=CC=C9C(C)C)C(C)C)OC1=CC=C(C=C1)C(C)(C)C)OC1=CC=C(C=C1)C(C)(C)C)C2=O
101851293,C40H46N6O4,674.358053952,CN(C)CCCNCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCNCCCN(C)C)C1=O
102107213,C64H58N2O4,918.439658336,CCCCCCCCN1C(=O)C2=C(C=C3C4=CC(=C5C6=C4C(=CC(=C6C(=O)N(C5=O)CCCCCCCC)C7=CC=CC=C7)C8=CC(=C(C2=C38)C1=O)C9=CC=CC=C9)C1=CC=CC=C1)C1=CC=CC=C1
102218119,C92H106N4O8,1394.8010663519997,CCCCCC(CCCCC)N1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=C(C=C7C6=C(C=C5)C(=O)N(C7=O)C(CCCCC)CCCCC)C8=C9C2=CC=C3C4=C(C=CC(=C24)C2=C9C4=C(C=C2)C(=O)N(C(=O)C4=C8)C(CCCCC)CCCCC)C(=O)N(C3=O)C(CCCCC)CCCCC)C1=O
132201258,C34H29N3O4,543.215806408,CCC(CC)N1C(=O)C2=C3C(=CC4=C5C3=C(C=C2)C6=C7C5=C(N4)C=C8C7=C(C=C6)C(=O)N(C8=O)C(CC)CC)C1=O
100888,C32H26N2O6,534.179086552,COCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCOC)C1=O
12401091,C42H30N2O4,626.22055744,CC1=CC(=C(C(=C1)C)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9=C(C=C(C=C9C)C)C)C2=O)C
14833079,C27H16N2O7S,512.0678218519998,CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCS(=O)(=O)O)C1=O
101668225,C48H28N4O4,724.2110553759999,C1=CC=C(C=C1)NC2=CC=C(C=C2)N3C(=O)C4=C5C(=CC=C6C5=C(C=C4)C7=C8C6=CC=C9C8=C(C=C7)C(=O)N(C9=O)C1=CC=C(C=C1)NC1=CC=CC=C1)C3=O
333494,C32H18N2O5,510.1215716759999,CN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)C8=CC=C(C=C8)OC)C1=O
2844777,C28H18N2O6,478.1164862959999,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCO)C(=O)N(C2=O)CCO
10506951,C36H30N2O4,554.22055744,C1CCC(CC1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9CCCCC9)C2=O
10533420,C52H49N3O6,811.3621362880001,CC(C)(C)C1=CC(=C(C=C1)C(C)(C)C)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=C(C=C8C7=C(C=C6)C(=O)N(C8=O)C9=C(C=CC(=C9)C(C)(C)C)C(C)(C)C)[N+](=O)[O-])C2=O
10745910,C38H38N2O4,586.283157696,CCCCCCC(CCCCCC)N1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)C)C1=O
10747165,C42H45N3O6,687.33083616,CCCCC(CCCC)N1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=C(C=C7C6=C(C=C5)C(=O)N(C7=O)C(CCCC)CCCC)[N+](=O)[O-])C1=O
10771644,C50H61N3O6,799.456036672,CCCCCCC(CCCCCC)N1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=C(C=C7C6=C(C=C5)C(=O)N(C7=O)C(CCCCCC)CCCCCC)[N+](=O)[O-])C1=O
10843037,C52H67N3O4,797.5131576239999,CCCCCCC(CCCCCC)N1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=C(C=C7C6=C(C=C5)C(=O)N(C7=O)C(CCCCCC)CCCCCC)N(C)C)C1=O
11803384,C50H60N2O4S,784.4273794000001,CCCCCCC(CCCCCC)N1C(=O)C2=C3C(=CC4=C5C3=C(C=C2)C6=C7C5=C(S4)C=C8C7=C(C=C6)C(=O)N(C8=O)C(CCCCCC)CCCCCC)C1=O
13979853,C30H18N2O4,470.126657056,C=CCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CC=C)C1=O
13979856,C34H26N2O4,526.189257312,C1CCC(C1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9CCCC9)C2=O
13979862,C48H54N2O4,722.408358208,C1CCCCCC(CCCCC1)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C6=C7C5=CC=C8C7=C(C=C6)C(=O)N(C8=O)C9CCCCCCCCCCC9)C2=O
